date,userid,text,sentiment
11/16/2020 23:21,1.33E+18,"RT @UCBerkeley: UC Berkeley just launched CA #COVIDNotify, which uses 
@Google &amp; @Apple's smartphone-based exposure notification system. It…",0
11/16/2020 23:21,1.33E+18,@Apple having these issues which im not as my mum has same issue. Do u actually do surveys and ask customers opinio… https://t.co/MqR3hBQsGv,0
11/16/2020 23:20,1.33E+18,Even when I post a simple #AppleSupport question related to horrendous #customerservice @Apple store @TownCtrAtBoca… https://t.co/xVtgaPvcwR,0
11/16/2020 23:20,1.33E+18,Hey @Apple @AppleSupport why don’t you fix your shitty iOS software? You promised a fix for wifi and connectivity i… https://t.co/OopvpcO4ts,0
11/16/2020 23:20,1.33E+18,When is WhatsApp coming to iPad? I have been hearing “soon” all of 2020! ... Anyone? @WhatsApp @Apple #WhatsApp,0
11/16/2020 23:20,1.33E+18,@ChanceyKnows @Apple @AppleSupport @WSJ @PhillyInquirer They told me to check settings. Friends said turn airplane… https://t.co/rb9ejezTfw,0
11/16/2020 23:20,1.33E+18,It’s been over an hour and this fucking thing just keeps saying it’s downloading the update. @Apple removed the dow… https://t.co/AfhOb3DflL,0
11/16/2020 23:20,1.33E+18,STILL no biryani or cologne emoji... Come on @apple,0
11/16/2020 23:19,1.33E+18,"Strange bug in #BigSur: dock hiding turns itself on if you exit a folder in Launchpad...
@Apple @AppleSupport https://t.co/uuyLPNHMvW",0
11/16/2020 23:19,1.33E+18,@Apple How does one go about filing a complaint for a store manager at a particular location? My experience this ev… https://t.co/xCTRjsHi0q,0
11/16/2020 23:19,1.33E+18,@Apple shows it at the top accept or decline. Can’t even have a conversation on the phone I was on the phone to hos… https://t.co/PnH4zVi0Is,0
11/16/2020 23:18,1.33E+18,@lshedd123 @Apple Ok same. The airplane sound is really appreciated when you are sharing slides with 6 yr olds and… https://t.co/W08e2KVNmS,0
11/16/2020 23:18,1.33E+18,"RT @HelenJKnott: @ltsDB @jessphillips @GavinWilliamson Many schools use Purple Mash which doesn’t work on the Amazon tablet browser Silk, P…",0
11/16/2020 23:17,1.33E+18,@Apple can I just say how annoying it is since my fone has had its updates I have apple 8 wen u on the phone it cut… https://t.co/4wAh6HJOpD,0
11/16/2020 23:17,1.33E+18,More birthday gifts!!!! @Apple I’m getting closer to going full Apple products real soon #OperationProjectApple2021 https://t.co/22oFE0fAqq,0
11/16/2020 23:17,1.33E+18,@Apple PLEASE we need FaceTime screen share,0
11/16/2020 23:17,1.33E+18,RT @Apple: Mini but mighty. iPhone 12 mini available now.,0
